Gene,ENS ref,refseq match,gene symbol,# nucleotides,log likelihood dN/dS >= 0,log likelihood dN/dS=1,p-value for likelihood ratio test of dN/dS=1 versus dN/dS > 1.  Test not performed for data genes with 2 mutations or less or less than 50 codons. p=1 indicates that dN/dS < 1.,included in restrictive data set?
HC342,ENSG00000178038,"NM_147129,NM_182774",FLJ36525,1332,-1786.15,-1789.59,1,yes
HC343,ENSG00000163818,NM_020347,LZTFL1,813,-1076.78,-1076.78,1,yes
HC344,ENSG00000163827,NM_024750,LRRC2,1092,-1491.62,-1491.64,0.552101,yes
HC345,ENSG00000145041,XM_376232,VprBP,3918,-5391.23,-5399.39,1,no
HC346,ENSG00000088538,NM_004947,,4563,-6181.27,-6183.19,1,yes
HC347,ENSG00000162493,"NM_006474,NM_198389",T1A-2,186,-259.818,-262.217,,yes
HC348,ENSG00000124479,NM_000266,NDP,381,-533.758,-535.903,1,yes
HC349,,,,594,-804.332,-804.558,,no
HC350,ENSG00000089289,NM_001551,IGBP1,861,-1190.92,-1191.03,1,yes
HC351,ENSG00000090889,NM_012310,KIF4A,3399,-4563.82,-4569.83,1,yes
HC352,ENSG00000120500,NM_004312,ARR3,912,-1237.92,-1238.08,,yes
HC353,ENSG00000147160,XM_088683,,801,-1081.37,-1081.37,,no
HC354,ENSG00000130055,NM_017711,FLJ20207,1164,-1600.75,-1605.54,1,yes
HC355,ENSG00000120509,NM_016484,LOC51248,417,-570.132,-572.481,,yes
HC356,ENSG00000158813,NM_001399,,390,-501.579,-501.579,,yes
HC357,ENSG00000082458,NM_021120,DLG3,1482,-1998.73,-1999.98,,yes
HC358,ENSG00000116983,NM_016257,HPCAL4,351,-416.413,-416.413,,yes
HC359,ENSG00000137409,NM_014341,MTCH1,732,-972.908,-975.7,,yes
HC360,ENSG00000137168,NM_016059,PPIL1,489,-662.4,-662.4,,yes
HC361,ENSG00000124762,"NM_000389,NM_078467",CDKN1A,435,-589.73,-589.897,,yes
HC362,ENSG00000146192,NM_173558,,1722,-2261.21,-2263.18,1,yes
HC363,ENSG00000124772,NM_020939,CPNE5,906,-1208.86,-1214.53,1,yes
HC364,,XM_371819,,288,-381.749,-381.749,,no
HC365,,NM_152734,C6orf89,1008,-1405.25,-1406.28,1,yes
HC366,ENSG00000117020,NM_005465,AKT3,990,-1317.84,-1322.11,1,yes
HC367,ENSG00000153471,NM_004610,,114,,,,yes
HC368,"ENSG00000188427,ENSG00000146521",NM_014356,HGC6.2,39,,,,yes
HC369,ENSG00000153298,NM_014354,C6orf54,249,-372.56,-372.569,0.411174,yes
HC370,ENSG00000125337,NM_030615,KIF25,1038,-1507.29,-1507.9,0.161617,yes
HC371,ENSG00000112494,NM_018974,UNC93A,450,-616.986,-617.131,,yes
HC372,,NM_024919,FRMD1,273,-376.091,-381.118,1,yes
HC373,ENSG00000073711,NM_002718,PPP2R3A,2781,-3763.29,-3763.29,1,yes
HC374,ENSG00000104714,"NM_207332,XM_291282",,564,-787.427,-787.454,1,yes
HC375,ENSG00000172592,NM_206858,,426,-607.008,-608.214,1,yes
HC376,ENSG00000172548,XM_371777,,1200,-1606.25,-1609.7,1,no
HC377,ENSG00000113263,NM_005546,ITK,1488,-2081.84,-2087.29,1,yes
HC378,ENSG00000135074,NM_033274,ADAM19,2376,-3267.32,-3271.5,1,yes
HC379,ENSG00000145850,NM_138379,LOC91937,498,-707.317,-707.56,0.196312,yes
HC380,,,,1656,-2256.35,-2256.35,0.527638,no
HC381,ENSG00000140650,NM_000303,PMM2,75,,,,yes
HC382,ENSG00000184463,,PRO0149,198,-259.129,-259.129,,no
HC383,ENSG00000153048,NM_014316,CARHSP1,279,-382.677,-387.186,1,yes
HC384,ENSG00000183044,"NM_000663,NM_020686",ABAT,1134,-1570.82,-1572.5,1,yes
HC385,,,,54,,,,no
HC386,ENSG00000067365,NM_024109,ABAT,612,-862.939,-869.23,1,yes
HC387,ENSG00000104412,NM_014673,KIAA0103,681,-898.754,-900.173,,yes
HC388,ENSG00000104408,NM_001568,,537,-708.5,-711.19,,no
HC389,ENSG00000101928,NM_019556,DJ473B4,207,-268.33,-268.33,,yes
HC390,ENSG00000165704,NM_000194,HPRT1,450,-601.565,-602.868,,yes
HC391,,,,174,-251.202,-251.22,1,no
HC392,ENSG00000156504,NM_145284,LOC159090,507,-696.377,-697.625,,yes
HC393,ENSG00000167031,NM_004901,LYSAL1,1377,-1879.38,-1880.61,,yes
HC394,ENSG00000160808,NM_000258,MYL3,474,-614.769,-614.769,,yes
HC395,,,KIAA0795,519,-714.476,-715.476,1,yes
HC396,ENSG00000088727,NM_182902,KIF9,1068,-1458.8,-1458.96,1,yes
HC397,,,MGC23918,402,-501.607,-502.924,,yes
HC398,ENSG00000114650,,SCAP,1965,-2678.27,-2687.22,1,yes
HC399,,XM_291064,,774,-1054.82,-1054.82,1,no
HC400,ENSG00000115361,NM_001608,ACADL,72,,,,yes
HC401,,NM_014016,SACM1L,1359,-1869,-1873.03,1,yes
HC402,ENSG00000011376,NM_015340,LARS2,2688,-3767.01,-3774.74,1,yes
HC403,ENSG00000163815,NM_003278,TNA,489,-619.823,-625.91,1,yes
HC404,ENSG00000163817,NM_020208,XT3,1542,-2023.6,-2027.85,1,yes
HC405,ENSG00000163810,NM_003241,TGM4,1938,-2678.73,-2679.15,0.232158,yes
HC406,,NM_020242,KNSL7,3432,-4563.02,-4563.62,1,yes
HC407,ENSG00000163814,NM_022842,CDCP1,2424,-3374.61,-3379.45,1,yes
HC408,ENSG00000163812,NM_016598,ZDHHC3,717,-960.664,-963.451,,yes
HC409,ENSG00000134028,NM_014479,ADAMDEC1,732,-1000.42,-1000.44,1,yes
HC410,ENSG00000163624,NM_001263,CDS1,1080,-1476.79,-1479.63,1,yes
HC411,ENSG00000163625,NM_014991,,156,-206.415,-206.415,,yes
HC412,ENSG00000144401,NM_145280,LOC151194,618,-867.834,-869.449,1,yes
HC413,ENSG00000104660,NM_015344,LEPROTL1,339,-456.12,-457.342,,yes
HC414,ENSG00000188015,NM_002960,S100A3,294,-388.548,-391.741,,no
HC415,ENSG00000163220,NM_002965,S100A9,339,-453.561,-458.497,1,yes
HC416,"ENSG00000188866,ENSG00000160672",NM_002962,S100A5,222,-291.24,-292.739,,yes
HC417,"ENSG00000188616,ENSG00000160673","NM_002961,NM_019554",S100A3,300,-393.182,-396.273,,yes
HC418,ENSG00000163221,NM_005621,S100A12,273,-366.783,-366.784,1,yes
HC419,"ENSG00000189228,ENSG00000160678",NM_006271,S100A1,135,,,,yes
HC420,,,S100A2,291,-390.464,-393.102,1,yes
HC421,ENSG00000012232,NM_001440,EXTL3,2286,-3081.64,-3096.81,1,yes
HC422,ENSG00000168077,NM_016240,SCARA3,1416,-1935.35,-1949.18,1,yes
HC423,ENSG00000120907,NM_000680,ADRA1A,1197,-1599.71,-1603.88,1,yes
HC424,ENSG00000110665,,C11orf21,93,,,,no
HC425,ENSG00000110651,NM_004356,CD81,438,-559.638,-563.114,,yes
HC426,ENSG00000064201,NM_139022,PHEMX,690,-986.102,-986.204,1,yes
HC427,ENSG00000167244,NM_000612,IGF2,303,-387.053,-387.053,,yes
HC428,ENSG00000130595,NM_006757,TNNT3,591,-757.602,-763.15,1,yes
HC429,ENSG00000180176,"NM_000360,NM_199292,NM_199293",TH,462,-590.186,-593.649,,yes
HC430,,NM_021134,MRPL23,243,-326.336,-327.816,1,yes
HC431,ENSG00000130592,NM_002339,,78,,,,no
HC432,,,SYT8,180,-246.291,-247.303,0.23623,yes
HC433,,,GNRH1,141,,,,yes
HC434,,NM_024940,FLJ21034,4788,-6544.92,-6564.15,1,yes
HC435,ENSG00000182636,NM_002487,,486,-608.344,-610.281,,yes
HC436,,,SFRP4,1038,-1426.78,-1427.03,1,yes
HC437,ENSG00000106462,"NM_004456,NM_152998",EZH2,1560,-2118.99,-2122.9,1,yes
HC438,ENSG00000174469,NM_014141,CNTNAP2,2241,-3133.1,-3143,1,yes
HC439,ENSG00000125676,XM_047325,,1449,-1918.91,-1921.66,,no
HC440,ENSG00000136051,NM_015275,,2688,-3625.99,-3632.42,1,yes
HC441,ENSG00000151131,NM_152318,MGC40397,345,-456.099,-456.099,,yes
HC442,ENSG00000135801,NM_014409,TAF5L,1539,-2112.42,-2120.1,1,yes
HC443,ENSG00000143632,NM_001100,ACTA1,384,-481.759,-483.972,,yes
HC444,ENSG00000135776,NM_012089,ABCB10,1365,-1880.58,-1881.5,1,yes
HC445,ENSG00000069248,NM_018230,,2412,-3351.08,-3352.18,1,yes
HC446,ENSG00000135750,NM_002245,KCNK1,426,-584.756,-589.774,1,yes
HC447,ENSG00000099399,NM_002364,MAGEB2,480,-689.983,-690.074,0.438835,yes
HC448,ENSG00000178556,,,234,-355.753,-355.957,1,no
HC449,,,,408,-574.473,-575.838,1,no
HC450,ENSG00000132438,"NM_000109,NM_004006,NM_004007,NM_004009,NM_004010",DMD,4212,-5672.25,-5679.05,1,yes
HC451,ENSG00000151090,NM_000461,THRB,1092,-1488.14,-1491.96,1,yes
HC452,ENSG00000182247,NM_152653,FLJ25157,486,-658.08,-659.424,,yes
HC453,ENSG00000074319,NM_006292,TSG101,888,-1195.39,-1196.64,,yes
HC454,ENSG00000166796,"NM_002301,NM_017448",LDHC,528,-698.844,-698.844,,yes
HC455,ENSG00000173432,"NM_000331,NM_199161",SAA1,267,-358.034,-358.415,,yes
HC456,ENSG00000129167,NM_004179,TPH1,978,-1326.56,-1327.22,,yes
HC457,ENSG00000129158,NM_012139,DELGEF,1242,-1731.99,-1732.33,0.168601,yes
HC458,,,MRGX3,789,-1291.93,-1292,1,yes
HC459,,,SAA4,258,-345.656,-345.656,,yes
HC460,ENSG00000166788,NM_138421,LOC113174,1233,-1673.78,-1674.34,1,yes
HC461,ENSG00000179119,NM_194285,,717,-937.74,-937.917,,yes
HC462,ENSG00000151117,NM_153347,FLJ90119,693,-921.983,-922.231,,yes
HC463,ENSG00000110786,NM_032781,PTPN5,1263,-1691.91,-1694.09,1,yes
HC464,ENSG00000124391,NM_013278,,507,-668.629,-672.407,1,yes
HC465,ENSG00000163209,NM_005416,SPRR3,414,-616.015,-616.686,1,yes
HC466,ENSG00000153162,NM_001718,BMP6,735,-1001.86,-1002.53,,yes
HC467,ENSG00000124802,NM_004280,EEF1E1,423,-584.176,-587.72,1,yes
HC468,ENSG00000188428,NM_201280,,528,-714.048,-714.253,,yes
HC469,ENSG00000054356,NM_002846,PTPRN,1629,-2246.51,-2249.64,1,yes
HC470,ENSG00000115661,NM_003691,STK16,732,-1010.48,-1012.29,1,yes
HC471,ENSG00000163497,NM_017521,HSRNAFEV,72,,,,yes
HC472,ENSG00000135929,NM_000784,CYP27A1,1494,-2053.77,-2066.11,1,yes
HC473,ENSG00000163499,"NM_005209,NM_057093,NM_057094",CRYBA2,480,-645.552,-645.607,1,yes
HC474,ENSG00000123989,NM_024536,CHPF,1263,-1677.45,-1684.04,1,yes
HC475,ENSG00000163521,NM_024506,MGC10771,1098,-1537.27,-1537.79,1,yes
HC476,,NM_006000,TUBA1,1191,-1578.88,-1581.68,,yes
HC477,ENSG00000144591,"NM_013335,NM_205847",GMPPA,930,-1230.65,-1230.65,,yes
HC478,ENSG00000115657,NM_005689,ABCB6,2313,-3132.45,-3137.44,1,yes
HC479,ENSG00000135924,NM_006736,,744,-1013.33,-1013.5,,yes
HC480,ENSG00000163526,NM_025019,TUBA4,294,-399.346,-400.502,0.16388,yes
HC481,,,DNPEP,1398,-1893.91,-1893.96,0.520248,yes
HC482,ENSG00000163516,,FLJ10415,870,-1192.55,-1192.68,,yes
HC483,ENSG00000115655,NM_024085,FLJ22169,1539,-2083.37,-2087.33,1,yes
HC484,ENSG00000158535,NM_024782,FLJ12610,888,-1237.02,-1237.24,0.167433,yes
HC485,,,,156,-197.239,-199.362,1,yes
HC486,ENSG00000072182,NM_018674,ACCN4,1572,-2120.22,-2122.82,1,yes
HC487,,,,6,,,,yes
HC488,ENSG00000163501,XM_050846,,675,-903.096,-903.462,1,no
HC489,ENSG00000130540,NM_014351,SULT4A1,480,-608.424,-608.644,,yes
HC490,ENSG00000093000,NM_007172,,1395,-1929.57,-1929.86,1,yes
HC491,ENSG00000077942,NM_006486,FBLN1,1485,-1981.9,-1995.37,1,yes
HC492,,,C16orf7,81,,,,yes
HC493,ENSG00000141018,NM_003119,SPG7,732,-975.86,-985.944,1,yes
HC494,ENSG00000154917,NM_016577,RAB6B,252,-320.994,-320.994,,yes
HC495,ENSG00000170819,NM_003571,BFSP2,885,-1222.86,-1224.55,1,yes
HC496,ENSG00000163781,,TOPBP1,1545,-2089.31,-2089.82,1,yes
HC497,ENSG00000144867,NM_021203,APMCF1,210,-290.929,-291.28,,yes
HC498,,NM_023943,,1359,-1816.21,-1816.23,0.454535,yes
HC499,ENSG00000008516,"NM_022468,NM_022718",MMPL1,645,-857.53,-857.641,1,yes
HC500,,NM_004203,PKMYT1,993,-1292,-1292.36,,yes
HC501,ENSG00000167978,NM_016333,SRRM2,6156,-8384.82,-8393.13,1,yes
HC502,ENSG00000103355,NM_152891,,39,,,,yes
HC503,ENSG00000186731,NM_183379,,180,-242.172,-242.493,,yes
HC504,ENSG00000140992,NM_002613,PDPK1,1536,-2133.75,-2140.58,1,yes
HC505,,,DKFZp761A132,939,-1387.97,-1412.62,1,yes
HC506,ENSG00000131650,"NM_024507,NM_172229",,264,-347.274,-347.702,,yes
HC507,ENSG00000006327,NM_016639,TNFRSF12A,177,-230.037,-230.037,,yes
HC508,ENSG00000103145,NM_017885,HCFC1R1,201,-254.08,-254.08,,yes
HC509,ENSG00000131652,NM_024339,MGC2655,858,-1178.51,-1181.65,1,yes
HC510,ENSG00000162069,,,495,-636.806,-637.217,1,no
HC511,ENSG00000115808,NM_003162,STRN,303,-398.634,-398.634,,no
HC512,ENSG00000129152,NM_002478,MYOD1,513,-648.667,-652.038,1,yes
HC513,ENSG00000006611,NM_005709,USH1C,1413,-1937.75,-1942.11,1,yes
HC514,ENSG00000011405,NM_002645,,3765,-5137.16,-5148.33,1,yes
HC515,,XM_039218,,555,-793.516,-795.883,0.011865,no
HC516,ENSG00000110700,NM_001017,RPS13,348,-470.999,-470.999,,yes
HC517,ENSG00000070081,NM_005013,NUCB2,882,-1110.91,-1113.41,,yes
HC518,ENSG00000006071,NM_000352,ABCC8,2871,-3830.81,-3838.02,1,yes
HC519,ENSG00000101972,NM_006603,STAG2,1287,-1699.49,-1699.49,,yes
HC520,ENSG00000183918,NM_002351,SH2D1A,198,-271.902,-274.73,,yes
HC521,,XM_375375,KIAA0431,438,-590.21,-590.21,,no
HC522,,,,276,-388.469,-389.488,0.321963,no
HC523,,,,3240,-4393.14,-4398.2,1,yes
HC524,ENSG00000131153,NM_016095,LOC51659,288,-405.734,-410.58,1,yes
HC525,,NM_006756,,171,-299.54,-300.681,1,yes
HC526,ENSG00000100425,NM_014577,BRD1,2610,-3500.64,-3515.65,1,yes
HC527,ENSG00000144681,NM_003149,STAC,870,-1190.08,-1192.65,,yes
HC528,,NM_000135,FANCA,3405,-4821.31,-4827.62,1,yes
HC529,ENSG00000188322,XM_370948,,201,-255.627,-255.627,,no
HC530,ENSG00000131462,NM_001070,TUBG1,1035,-1403.8,-1420.53,1,yes
HC531,,XM_371243,,411,-541.76,-541.76,,no
HC532,,,LOC65243,1200,-1677.26,-1680.72,1,yes
HC533,ENSG00000084070,NM_022733,LOC64744,1218,-1670.15,-1673.96,1,yes
HC534,ENSG00000117000,NM_012421,RLF,4470,-6028.2,-6043.42,1,yes
HC535,ENSG00000049089,NM_001852,COL9A2,1317,-1721.39,-1721.5,1,yes
HC536,ENSG00000108771,NM_024119,LGP2,378,-497.842,-498.091,,yes
HC537,,,GTF3C1,4824,-6548.55,-6555.17,1,yes
HC538,ENSG00000070756,NM_002568,PABPC1,1170,-1586.02,-1594.28,1,yes
HC539,ENSG00000164924,"NM_003406,NM_145690",YWHAZ,717,-943.242,-943.242,,no
HC540,ENSG00000104450,"NM_003114,NM_172218",,1305,-1755.31,-1762.98,1,yes
HC541,ENSG00000034677,"NM_015435,NM_183419",RNF19,2232,-3004.76,-3005.97,1,yes
HC542,ENSG00000186106,NM_198401,,639,-867.218,-868.384,,yes
HC543,,,DKFZP434I092,2049,-2761.32,-2765.37,1,yes
HC544,ENSG00000174226,NM_152628,MGC39715,669,-919.395,-923.18,1,yes
HC545,ENSG00000110880,NM_014325,,585,-787.417,-788.681,,yes
HC546,ENSG00000075856,NM_014706,SART3,2076,-2822.8,-2828.39,1,yes
HC547,ENSG00000075035,XM_033113,,1104,-1496.66,-1500.03,1,no
HC548,,NM_007076,HYPE,1332,-1772.26,-1779.57,1,yes
HC549,ENSG00000084112,NM_018984,SSH1,1635,-2242.54,-2244.6,1,yes
HC550,ENSG00000166111,NM_018711,DKFZp761H039,735,-1023.35,-1032.49,1,yes
HC551,ENSG00000136003,,NIFU,378,-498.423,-498.423,,yes
HC552,ENSG00000102221,NM_014735,KIAA0215,2427,-3334.48,-3335.8,1,yes
HC553,ENSG00000102218,NM_006915,RP2,963,-1337.79,-1338.44,1,yes
HC554,ENSG00000178773,"NM_014427,NM_153636",CPNE7,663,-832.784,-835.943,1,yes
HC555,ENSG00000185324,,CDK10,585,-761.639,-768.506,1,yes
HC556,ENSG00000158792,NM_152339,MGC26885,600,-805.5,-809.849,1,yes
HC557,ENSG00000167523,NM_153025,FLJ31606,171,-228.948,-229.985,1,yes
HC558,ENSG00000128710,NM_002148,HOXD10,549,-746.46,-747.776,,yes
HC559,,,ATF2,957,-1262.87,-1262.87,,yes
HC560,ENSG00000152256,NM_002610,PDK1,975,-1334.69,-1334.91,,yes
HC561,ENSG00000176476,NM_138414,LOC112869,471,-625.443,-631.725,1,yes
HC562,,XM_293029,,402,-534.691,-534.691,1,no
HC563,,,,48,,,,no
HC564,,,,2178,-3026.23,-3036.02,1,no
HC565,ENSG00000115935,NM_003387,WASPIP,939,-1273.32,-1273.91,1,yes
HC566,,NM_005089,U2AF1RS2,1080,-1462.85,-1463.48,1,yes
HC567,,NM_003916,AP1S2,471,-623.291,-624.571,,no
HC568,ENSG00000126010,NM_005314,GRPR,1134,-1537.32,-1540.43,1,yes
HC569,ENSG00000147003,NM_020665,NX17,555,-759.3,-759.483,,yes
HC570,ENSG00000130234,NM_021804,ACE2,2367,-3239.38,-3240.24,1,yes
HC571,ENSG00000169439,NM_002998,,600,-816.601,-817.312,,yes
HC572,ENSG00000104324,NM_016134,,573,-783.969,-784.184,,yes
HC573,ENSG00000156471,NM_014754,PTDSS1,246,-325.014,-325.014,,yes
HC574,ENSG00000091428,NM_007023,CGEF2,2067,-2818.09,-2826.51,1,yes
HC575,ENSG00000144136,NM_005415,SLC20A1,1797,-2486.55,-2488.41,1,yes
HC576,ENSG00000087842,NM_003662,PIR,543,-748.694,-749.595,1,yes
HC577,ENSG00000165197,NM_004469,FIGF,675,-931.965,-932.611,,yes
HC578,,,ASB9,405,-552.568,-553.814,,yes
HC579,ENSG00000130150,NM_152581,MGC26706,1401,-1897.21,-1898.41,1,yes
HC580,ENSG00000163217,NM_014482,BMP10,804,-1096.21,-1098.14,1,yes
HC581,ENSG00000143801,NM_000447,PSEN2,1125,-1489.47,-1494.91,1,yes
HC582,,XM_375849,,210,-260.761,-260.761,,no
HC583,ENSG00000146802,NM_022484,FLJ13576,1143,-1560.95,-1564.91,1,yes
HC584,ENSG00000006652,NM_001550,IFRD1,1062,-1451.88,-1455.16,1,yes
HC585,,,FLJ31818,723,-983.883,-984.216,,yes
HC586,ENSG00000171132,NM_005400,PRKCE,2028,-2718.44,-2726.85,1,yes
HC587,ENSG00000138083,NM_005413,SIX3,393,-488.549,-492.889,,yes
HC588,ENSG00000010030,NM_016135,ETV7,771,-1042.12,-1043.3,1,yes
HC589,ENSG00000156711,NM_002754,MAPK13,756,-994.351,-995.809,1,yes
HC590,ENSG00000096063,NM_003137,SRPK1,843,-1119.46,-1119.46,,yes
HC591,,,CLPS,210,-272.307,-272.307,,yes
HC592,,,,270,-340.961,-342.971,,yes
HC593,ENSG00000157339,,,630,-808.244,-810.017,,yes
HC594,ENSG00000112053,"NM_052961,NM_138718",SLC26A8,123,,,,yes
HC595,ENSG00000112078,NM_173562,,732,-1005.6,-1005.63,1,yes
HC596,ENSG00000157343,NM_145028,C6orf81,645,-890.76,-902.951,1,yes
HC597,ENSG00000138032,NM_002706,PPM1B,1404,-1857.49,-1858.89,,yes
HC598,,XM_292785,,210,-271.338,-271.586,,no
HC599,ENSG00000169021,NM_006003,UQCRFS1,378,-510.061,-510.422,,no
HC600,,,ZFP36L2,27,,,,yes
HC601,ENSG00000034533,NM_014065,HT001,1035,-1412.06,-1412.45,,yes
HC602,ENSG00000114679,NM_014602,PIK3R4,2184,-2975.42,-2981.93,1,yes
HC603,ENSG00000115963,NM_005168,ARHE,570,-777.152,-778.387,,yes
HC604,,,,720,-977.795,-978.033,,yes
HC605,ENSG00000113971,NM_153240,FLJ35693,1227,-1656.07,-1658.05,1,yes
HC606,ENSG00000113971,NM_032169,FLJ12592,1092,-1509.13,-1510.26,1,yes
HC607,ENSG00000081307,NM_024818,FLJ23251,447,-599.269,-603.753,1,yes
HC608,ENSG00000138246,,,129,,,,yes
HC609,,"NM_001001557,XM_373260",,330,-417.674,-417.674,,yes
HC610,,,FLJ11240,762,-1035.79,-1036.02,,yes
HC611,ENSG00000070371,NM_007098,CLTCL1,4032,-5477.11,-5480.61,1,yes
HC612,ENSG00000119801,NM_016061,CGI-127,360,-484.336,-484.336,,yes
HC613,ENSG00000158019,"NM_199191,NM_199194",BRE,540,-746.558,-749.002,,yes
HC614,ENSG00000171094,NM_004304,ALK,3792,-5223.57,-5228.09,1,yes
HC615,ENSG00000115373,NM_013233,STK39,810,-1108.29,-1108.74,1,yes
HC616,,,KIAA0435,1872,-2602.69,-2607.36,1,no
HC617,ENSG00000143674,NM_032435,KIAA1804,1101,-1509.74,-1510.66,1,yes
HC618,ENSG00000135778,NM_032324,MGC13186,534,-722.473,-722.473,,yes
HC619,ENSG00000151360,NM_018436,ALLC,459,-629.038,-629.256,,yes
HC620,ENSG00000071870,NM_012290,TLK1,1707,-2259.83,-2261.25,,yes
HC621,ENSG00000115806,NM_015530,GORASP2,960,-1324.7,-1325.81,1,yes
HC622,,,FLJ13984,546,-729.599,-729.87,,yes
HC623,,,FLJ13096,471,-633.66,-634,,yes
HC624,ENSG00000113272,NM_017872,FLJ20546,837,-1171.75,-1175.53,1,yes
HC625,ENSG00000155858,NM_173491,,630,-879.313,-880.116,1,yes
HC626,ENSG00000118217,NM_007348,ATF6,1488,-2035.2,-2035.25,1,yes
HC627,ENSG00000117143,NM_003115,UAP1,1203,-1624.32,-1626.17,1,yes
HC628,ENSG00000081721,NM_007240,DUSP12,558,-773.117,-775.534,,yes
HC629,,NM_015441,,1503,-2128.31,-2133.91,1,yes
HC630,ENSG00000152332,NM_175866,,1023,-1426.07,-1426.94,1,yes
HC631,ENSG00000158950,NM_014697,,1047,-1388.29,-1395.73,1,yes
HC632,ENSG00000119737,NM_006794,GPR75,1608,-2218.03,-2220.87,1,yes
HC633,ENSG00000124783,NM_003144,SSR1,474,-648.208,-649.376,,yes
HC634,ENSG00000124782,NM_002955,RREB1,3270,-4387.08,-4393.35,1,yes
HC635,ENSG00000124784,NM_031480,RIOK1,1281,-1759.27,-1759.8,1,yes
HC636,ENSG00000168566,NM_152551,C6orf151,963,-1302.61,-1305.7,1,yes
HC637,ENSG00000084072,"NM_006112,NM_203456",PPIE,600,-820.586,-823.162,,yes
HC638,,,MYCL1,168,-211.55,-211.55,,yes
HC639,ENSG00000043514,NM_017646,IPT,1338,-1833.29,-1835.98,1,yes
HC640,ENSG00000116981,NM_032526,NT5C1A,708,-955.23,-957.259,1,yes
HC641,ENSG00000090621,NM_003819,,1506,-2045.09,-2048.65,1,yes
HC642,ENSG00000163909,NM_014571,HEYL,837,-1145.91,-1146.46,1,yes
HC643,ENSG00000143891,NM_138801,LOC130589,921,-1267.63,-1269.37,1,yes
HC644,ENSG00000163214,NM_198963,FLJ32861,3555,-4889.12,-4896.64,1,yes
HC645,ENSG00000115875,NM_006276,SFRS7,381,-502.368,-502.368,,yes
HC646,,,ARL6IP2,1182,-1616.23,-1616.43,1,yes
HC647,ENSG00000188339,,,303,-428.077,-428.425,1,no
HC648,ENSG00000143889,NM_138394,LOC92906,1458,-1991.48,-1998.06,1,yes
HC649,,,,324,-440.991,-440.991,,no
HC650,ENSG00000170820,NM_000145,FSHR,1686,-2338.1,-2338.54,1,yes
HC651,ENSG00000077984,NM_003650,CST7,489,-687.843,-689.047,1,yes
HC652,ENSG00000153094,"NM_006538,NM_138621",BCL2L11,288,-399.626,-400.877,,yes
HC653,ENSG00000071575,NM_021643,TRB2,753,-1013.55,-1013.85,,yes
HC654,ENSG00000151779,NM_015909,NAG,3528,-4898.1,-4898.3,0.289132,yes
HC655,,NM_002379,MATN1,504,-682.384,-684.026,1,yes
HC656,ENSG00000162512,XM_375712,SDC3,819,-1089.44,-1089.45,1,no
HC657,ENSG00000079785,NM_004939,DDX1,1893,-2563.17,-2568.54,1,yes
HC658,ENSG00000121440,XM_041363,,1482,-1951.31,-1960.37,1,no
HC659,ENSG00000164961,NM_014846,KIAA0196,2895,-3922.22,-3932.06,1,yes
HC660,ENSG00000173334,NM_025195,C8FW,363,-515.621,-516.083,1,yes
HC661,,NM_019066,MAGEL2,1071,-1480.04,-1484.69,1,yes
HC662,,,,135,,,,no
HC663,ENSG00000128739,"NM_003097,NM_022805,NM_022806,NM_022807,NM_022808",SNRPN,696,-920.493,-920.493,,yes
HC664,ENSG00000135775,NM_007357,COG2,1257,-1757.59,-1762.16,1,yes
HC665,ENSG00000143641,NM_004481,GALNT2,1272,-1721.27,-1726.57,1,yes
HC666,ENSG00000135773,NM_006615,CAPN9,2058,-2817.5,-2819.56,1,yes
HC667,ENSG00000164938,NM_033285,TP53INP1,705,-984.473,-988.841,1,yes
HC668,ENSG00000164941,NM_017864,FLJ20530,1338,-1795.9,-1798.58,,yes
HC669,ENSG00000138413,NM_005896,IDH1,714,-979.962,-981.864,1,yes
HC670,ENSG00000118231,NM_006891,CRYGD,243,-312.721,-314.586,,yes
HC671,ENSG00000168582,NM_014617,CRYGA,261,-346.601,-346.601,,yes
HC672,ENSG00000115020,NM_015040,,5886,-8053.42,-8058.23,1,yes
HC673,ENSG00000001626,NM_000492,CFTR,3108,-4250.92,-4251.21,1,yes
HC674,ENSG00000154438,NM_130768,GASZ,708,-942.507,-943.088,1,yes
HC675,ENSG00000004866,NM_021908,ST7,1605,-2214.37,-2223.11,1,yes
HC676,,,FLJ10815,1239,-1619.78,-1622.82,,yes
HC677,ENSG00000103034,NM_022910,NDRG4,903,-1187.27,-1191.97,1,yes
HC678,,,EML4,2319,-3161.97,-3165.02,1,yes
HC679,,XM_038576,,690,-909.549,-911.086,,no
HC680,,,HRI,1317,-1825.57,-1826.25,1,yes
HC681,ENSG00000106305,NM_006303,HRI,645,-917.263,-917.343,0.297053,yes
HC682,ENSG00000075618,NM_003088,FSCN1,813,-1007.45,-1024.69,1,yes
HC683,ENSG00000075624,NM_001101,ACTB,1023,-1304.03,-1309.7,1,yes
HC684,ENSG00000136240,NM_006854,KDELR2,543,-735.799,-740.559,1,yes
HC685,ENSG00000106346,XM_374396,,1365,-1896.18,-1898.76,1,no
HC686,,,LOC221955,975,-1350.17,-1352.11,1,yes
HC687,ENSG00000127314,NM_015646,RAP1B,438,-576.379,-577.775,,yes
HC688,ENSG00000111554,NM_017440,MDM1,990,-1325.77,-1326.37,,yes
HC689,ENSG00000127318,NM_020525,IL22,360,-490.332,-491,,yes
